id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
989,401,252,"polansky, mark l.","polansky, mark l.",male,1956,u.s.,civilian,nasa-16,1996,3,3,commander,2009,sts-127,sts-127,sts-127,sts-127,377,993,0,0,0
990,402,253,"kelly, james m.","kelly, james m.",male,1959,u.s.,military,nasa- 16,1996,1,2,pilot,2001,sts-102,sts-102,sts-102,sts-102,307,640,0,0,0
991,402,253,"kelly, james m.","kelly, james m.",male,1959,u.s.,military,nasa- 16,1996,2,2,pilot,2005,sts-114,sts-114,sts-114,sts-114,333,640,0,0,0
992,403,254,"richards, paul w.","richards, paul w.",male,1964,u.s.,civilian,nasa-16,1996,1,1,msp,2001,sts-102,sts-102,sts-102,sts-102,307,307,1,6.35,6.35
993,404,255,"phillips, john l.","phillips, john l.",male,1951,u.s.,civilian,nasa-16,1996,1,3,msp,2001,sts-100,sts-100,sts-100,sts-100,285,4872,0,0,4.78
994,404,255,"phillips, john l.","phillips, john l.",male,1951,u.s.,civilian,nasa-16,1996,2,3,flight engineer,2005,11,soyuz tma-6,iss,soyuz tma-6,4296,4872,1,4.78,4.78
995,404,255,"phillips, john l.","phillips, john l.",male,1951,u.s.,civilian,nasa-16,1996,3,3,msp,2009,sts-119,sts-119,sts-119,sts-119,307.5,4872,0,0,4.78
996,405,94,"lonchakov, yuri",юрий валентинович лончаков,male,1965,u.s.s.r/russia,military,tspk-12,1997,1,3,msp,2001,sts­100,sts­100,sts­100,sts­100,285,4818.65,0,0,10.28
997,405,94,"lonchakov, yuri",юрий валентинович лончаков,male,1965,u.s.s.r/russia,military,tspk-12,1997,2,3,flight engineer,2002,soyuz tma­1/tm­34,soyuz tma­1,soyuz tma­1,soyuz tm­34,260,4818.65,0,0,10.28
998,405,94,"lonchakov, yuri",юрий валентинович лончаков,male,1965,u.s.s.r/russia,military,tspk-12,1997,3,3,commander,2008,18,soyuz tma­13,iss,soyuz tma­13,4272,4818.65,2,10.28,10.28
999,406,256,"tito, dennis anthony","tito, dennis anthony",male,1940,u.s.,civilian,mircorp,2000,1,1,space tourist,2001,эп-1,soyuz tm-32,soyuz tm-32,soyz tm-31,190.13,190.13,0,0,0
1000,407,257,"hobaugh, charles o.","hobaugh, charles o.",male,1961,u.s.,military,nasa- 16,1996,1,3,pilot,2001,sts-104,sts-104,sts-104,sts-104,306,871.78,0,0,0
1001,407,257,"hobaugh, charles o.","hobaugh, charles o.",male,1961,u.s.,military,nasa- 16,1996,2,3,pilot,2007,sts-118,sts-118,sts-118,sts-118,305,871.78,0,0,0
1002,407,257,"hobaugh, charles o.","hobaugh, charles o.",male,1961,u.s.,military,nasa- 16,1996,3,3,commander,2009,sts-129,sts-129,sts-129,sts-129,259,871.78,0,0,0
1003,408,258,"forrester, patrick g.","forrester, patrick g.",male,1957,u.s.,military,nasa- 16,1996,1,3,msp,2001,sts-105,sts-105,sts-105,sts-105,285,950,2,11.75,25.5
1004,408,258,"forrester, patrick g.","forrester, patrick g.",male,1957,u.s.,military,nasa- 16,1996,2,3,msp,2007,sts-117,sts-117,sts-117,sts-117,332,950,2,13.75,25.5
1005,408,258,"forrester, patrick g.","forrester, patrick g.",male,1957,u.s.,military,nasa- 16,1996,3,3,msp,2009,sts-128,sts-128,sts-128,sts-128,333,950,0,0,25.5
1006,409,95,"tyurin, mikhail",михаил владиславович тюрин,male,1960,u.s.s.r/russia,military,npoe-11,1994,1,3,flight engineer,2001,3,sts­105,iss,sts­108,3092,12770.85,3,13.58,25.52
1007,409,95,"tyurin, mikhail",михаил владиславович тюрин,male,1960,u.s.s.r/russia,military,npoe-11,1994,2,3,flight engineer,2006,14,soyuz tma­9,iss,soyuz tma­9,5168,12770.85,2,11.93,25.52
1008,409,95,"tyurin, mikhail",михаил владиславович тюрин,male,1960,u.s.s.r/russia,military,npoe-11,1994,3,3,commander,2013,38,soyuz tma­11m,iss,soyuz tma­11m,4509,12770.85,0,0,25.52
1009,410,96,"kozeyev, konstantin",константин мирович козеев,male,1967,u.s.s.r/russia,civilian,rkke-12,1996,1,1,flight engineer,2001,soyuz tm­33/32,soyuz tm­33,soyuz tm­33,soyuz tm­32,235,235.98,0,0,0
1010,411,259,"kelly, mark e.","kelly, mark e.",male,1964,u.s.,military,nasa- 16,1996,1,4,pilot,2001,sts-108,sts-108,sts-108,sts-108,283,1297,0,0,0
1011,411,259,"kelly, mark e.","kelly, mark e.",male,1964,u.s.,military,nasa- 16,1996,2,4,pilot,2006,sts-121,sts-121,sts-121,sts-121,307,1297,0,0,0
1012,411,259,"kelly, mark e.","kelly, mark e.",male,1964,u.s.,military,nasa- 16,1996,3,4,commander,2008,sts-124,sts-124,sts-124,sts-124,330,1297,0,0,0
1013,411,259,"kelly, mark e.","kelly, mark e.",male,1964,u.s.,military,nasa- 16,1996,4,4,commander,2011,sts-134,sts-134,sts-134,sts-134,377,1297,0,0,0
1014,412,260,"tani, daniel m.","tani, daniel m.",male,1961,u.s.,civilian,1996 nasa group,1996,1,2,msp,2001,sts-108,sts-108,sts-108,sts-108,283,3163,1,4.2,39.18
1015,412,260,"tani, daniel m.","tani, daniel m.",male,1961,u.s.,civilian,1996 nasa group,1996,2,2,msp,2007,16,sts-120,iss,sts-122,2880,3163,5,34.98,39.18
1016,413,261,"carey, duane g.","carey, duane g.",male,1957,u.s.,military,nasa- 16,1996,1,1,pilot,2002,sts-109,sts-109,sts-109,sts-109,262,262,0,0,0
1017,414,262,"massimino, michael j.","massimino, michael j.",male,1962,u.s.,civilian,nasa- 16,1996,1,2,msp,2002,sts-109,sts-109,sts-109,sts-109,262,517.8,2,14.77,30.74
1018,414,262,"massimino, michael j.","massimino, michael j.",male,1962,u.s.,civilian,nasa- 16,1996,2,2,msp,2009,sts-125,sts-125,sts-125,sts-125,309,517.8,2,15.97,30.74
1019,415,263,"frick, stephen n.","frick, stephen n.",male,1964,u.s.,military,nasa- 16,1996,1,2,pilot,2002,sts-110,sts-110,sts-110,sts-110,260,565,0,0,0
1020,415,263,"frick, stephen n.","frick, stephen n.",male,1964,u.s.,military,nasa- 16,1996,2,2,commander,2008,sts-122,sts-122,sts-122,sts-122,306,565,0,0,0
1021,416,264,"walheim, rex j.","walheim, rex j.",male,1962,u.s.,military,1996 nasa group,1996,1,3,msp,2002,sts-110,sts-110,sts-110,sts-110,259,872.51,2,34.6,56.73
1022,416,264,"walheim, rex j.","walheim, rex j.",male,1962,u.s.,military,1996 nasa group,1996,2,3,msp,2008,sts-122,sts-122,sts-122,sts-122,306,872.51,3,22.13,56.73
1023,416,264,"walheim, rex j.","walheim, rex j.",male,1962,u.s.,military,1996 nasa group,1996,3,3,msp,2011,sts-135,sts-135,sts-135,sts-135,306.5,872.51,0,0,56.73
1024,417,265,"morin, lee m.","morin, lee m.",male,1952,u.s.,military,nasa- 16,1996,1,1,msp,2002,sts-110,sts-110,sts-110,sts-110,259,259,2,14.12,14.12
1025,418,4,"vittori, roverto","vittori, roverto",male,1964,italy,military,1998 esa group,1998,1,3,flight engineer,2002,soyuz tma-34/tm-33,soyuz tma-34,soyuz tma-34,soyuz tma-33,237,851.65,0,0,0
1026,418,4,"vittori, roverto","vittori, roverto",male,1964,italy,military,1998 esa group,1998,2,3,flight engineer,2005,soyuz tma-6/tma-5,soyuz tma-6,soyuz tma-6,soyuz tma-5,237,851.65,0,0,0
1027,418,4,"vittori, roverto","vittori, roverto",male,1964,italy,military,1998 esa group,1998,3,3,msp,2011,sts-134,sts-134,sts-134,sts-134,377.65,851.65,0,0,0
1028,419,1,"shuttleworth, m. richard","shuttleworth, m. richard",male,1973,republic of south africa,civilian,space tourist 2,2001,1,1,space tourist,2002,soyuz tm-34 / soyuz tm-33,soyuz tm-34,soyuz tm-34,soyuz tm-33,237,237,0,0,0
1029,420,266,"lockhart, paul s.","lockhart, paul s.",male,1956,u.s.,military,nasa- 16,1996,1,2,pilot,2002,sts-111,sts-111,sts-111,sts-111,332,663.38,0,0,0
1030,420,266,"lockhart, paul s.","lockhart, paul s.",male,1956,u.s.,military,nasa- 17,1996,2,2,pilot,2002,sts-113,sts-113,sts-113,sts-113,330,663.38,0,0,0
1031,421,9,"perrin, philippe","perrin, philippe",male,1963,france,military,cnes-3/eac,1990,1,1,msp,2002,sts-111,sts-111,sts-111,sts-111,332.58,332.58,3,19.52,19.52
1032,422,267,"whitson, peggy a.","whitson, peggy a.",female,1960,u.s.,civilian,1996 nasa group,1996,1,3,msp,2002,5,sts-111,iss,sts-113,4438,15982,1,4.38,60.31
1033,422,267,"whitson, peggy a.","whitson, peggy a.",female,1960,u.s.,civilian,1996 nasa group,1996,2,3,flight engineer,2008,16,soyuz tma-11,iss,soyuz tma-11,4603,15982,5,35.35,60.31
1034,422,267,"whitson, peggy a.","whitson, peggy a.",female,1960,u.s.,civilian,1996 nasa group,1996,3,3,flight engineer,2016,50,soyuz ms-03,iss,soyuz ms-04,6941,15982,4,20.58,60.31
1035,423,97,"treshchov, sergei",сергей евгеньевич трещёв,male,1958,u.s.s.r/russia,civilian,npoe-10,1992,1,1,flight engineer,2002,5,sts­111,iss,sts­113,4438,4438.25,1,5.35,5.35
1036,424,268,"magnus, sandra h.","magnus, sandra h.",female,1964,u.s.,civilian,nasa- 16,1996,1,3,msp,2002,sts-112,sts-112,sts-112,sts-112,260,3776,0,0,0
1037,424,268,"magnus, sandra h.","magnus, sandra h.",female,1964,u.s.,civilian,nasa- 16,1996,2,3,msp,2008,18,sts-126,iss,sts-119,3210,3776,0,0,0
1038,424,268,"magnus, sandra h.","magnus, sandra h.",female,1964,u.s.,civilian,nasa- 16,1996,3,3,msp,2011,sts-135,sts-135,sts-135,sts-135,306,3776,0,0,0
1039,425,269,"sellers, piers j.","sellers, piers j.",male,1955,u.k./u.s.,civilian,nasa-16,1996,1,3,msp,2002,sts-112,sts-112,sts-112,sts-112,259,839,3,19.68,41.17
1040,425,269,"sellers, piers j.","sellers, piers j.",male,1955,u.k./u.s.,civilian,nasa-16,1996,2,3,msp,2006,sts-121,sts-121,sts-121,sts-121,306,839,3,21.48,41.17
1041,425,269,"sellers, piers j.","sellers, piers j.",male,1955,u.k./u.s.,civilian,nasa-16,1996,3,3,msp,2010,sts-132,sts-132,sts-132,sts-132,282.5,839,0,0,41.17
1042,426,98,"yurchikhin, fyodor",фёдор николаевич юрчихин,male,1959,u.s.s.r/russia,civilian,rkke-14,1997,1,5,msp,2002,sts­112,sts­112,sts­112,sts­112,259,16147,0,0,59.43
1043,426,98,"yurchikhin, fyodor",фёдор николаевич юрчихин,male,1959,u.s.s.r/russia,civilian,rkke-14,1997,2,5,flight engineer,2007,15,soyuz tma­10,iss,soyuz tma­10,4721,16147,3,18.73,59.43
1044,426,98,"yurchikhin, fyodor",фёдор николаевич юрчихин,male,1959,u.s.s.r/russia,civilian,rkke-14,1997,3,5,commander,2010,24,soyuz tma­19,iss,soyuz tma­19,3919,16147,2,13.17,59.43
1045,426,98,"yurchikhin, fyodor",фёдор николаевич юрчихин,male,1959,u.s.s.r/russia,civilian,rkke-14,1997,4,5,commander,2013,36,soyuz tma­09m,iss,soyuz tma­09m,3990,16147,2,20.03,59.43
1046,426,98,"yurchikhin, fyodor",фёдор николаевич юрчихин,male,1959,u.s.s.r/russia,civilian,rkke-14,1997,5,5,commander,2017,51,soyuz ms-04,iss,soyuz ms-04,3258,16147,1,7.5,59.43
1047,427,2,"de winne, frank","de winne, frank",male,1961,belgium,military,eac,1998,1,2,commander,2002,soyuz tma-1/tm-34,soyuz tma-1,soyuz tma-1,soyuz tma-34,261,4769.58,0,0,0
1048,427,2,"de winne, frank","de winne, frank",male,1961,belgium,military,eac,1998,2,2,commander,2009,20,soyuz tma-15,iss,soyuz tma-15,4508.6,4769.58,0,0,0
1049,428,270,"herrington, john b.","herrington, john b.",male,1958,u.s.,military,nasa- 16,1996,1,1,msp,2002,sts-113,sts-113,sts-113,sts-113,330,330,3,19.92,19.92
1050,429,271,"pettit, donald r.","pettit, donald r.",male,1955,u.s.,civilian,nasa-16,1996,1,3,flight engineer,2002,6,sts-113,iss,soyuz tma-1,3865,8872.5,2,13.28,13.28
1051,429,271,"pettit, donald r.","pettit, donald r.",male,1955,u.s.,civilian,nasa-16,1996,2,3,msp,2008,sts-126,sts-126,sts-126,sts-126,380.5,8872.5,0,0,13.28
1052,429,271,"pettit, donald r.","pettit, donald r.",male,1955,u.s.,civilian,nasa-16,1996,3,3,flight engineer,2011,30,soyuz tma-03m,iss,soyuz tma-03m,4627,8872.5,0,0,13.28
1053,430,272,"mccool, william c.","mccool, william c.",male,1961,u.s.,military,nasa- 16,1996,1,1,pilot,2003,sts-107,sts-107,sts-107,sts-107,382,382,0,0,0
1054,431,273,"brown, david m.","brown, david m.",male,1956,u.s.,military,nasa- 16,1996,1,1,msp,2003,sts-107,sts-107,sts-107,sts-107,382,382,0,0,0
1055,432,274,"clark, laurel b.","clark, laurel b.",female,1961,u.s.,military,nasa- 16,1996,1,1,msp,2003,sts-107,sts-107,sts-107,sts-107,382,382,0,0,0
1056,433,1,"ramon, ilan",אילן רמון,male,1954,israel,military,1996 nasa group,1996,1,1,psp,2003,sts-107,sts-107,sts-107,exploded,382.33,382.33,0,0,0
1057,434,1,"yang, liwei",杨利伟,male,1965,china,military,china-1,2003,1,1,commander,2005,shenzhou 5,shenzhou 5,shenzhou 5,shenzhou 5,21,21,0,0,0
1058,435,275,"fincke, e. michael","fincke, e. michael",male,1967,u.s.,military,nasa- 16,1996,1,3,flight engineer,2004,9,soyuz tma-4,iss,soyuz tma-4,4501,9159,4,15.75,48.61
1059,435,275,"fincke, e. michael","fincke, e. michael",male,1967,u.s.,military,nasa- 16,1996,2,3,commander,2009,18,soyuz tma-13,iss,soyuz tma-13,4280,9159,2,10.45,48.61
1060,435,275,"fincke, e. michael","fincke, e. michael",male,1967,u.s.,military,nasa- 16,1996,3,3,msp,2011,sts-134,sts-134,sts-134,sts-134,378,9159,3,22.42,48.61
1061,436,2,"kuipers, andre","kuipers, andre",male,1958,netherland,civilian,1998 esa group,1998,1,2,flight engineer,2004,soyuz tma-4/tma-3,soyuz tma-4,soyuz tma-4,soyuz tma-3,261,4888,0,0,0
1062,436,2,"kuipers, andre","kuipers, andre",male,1958,netherland,civilian,1998 esa group,1998,2,2,flight engineer,2012,30,soyuz tma-03m,iss,soyuz tma-03m,4627,4888,0,0,0
1063,437,99,"shargin, yuri",юрий георгиевич шаргин,male,1960,u.s.s.r/russia,military,mks,1996,1,1,flight engineer,2004,soyuz tma­5,soyuz tma­5,soyuz tma­5,soyuz tma­5,237,237.5,0,0,0
1064,438,6,"noguchi, soichi",野口聡一,male,1965,japan,civilian,nasda-3,1996,1,2,msp,2005,sts-114,sts-114,sts-114,sts-114,333.55,4251.1,3,20.08,20.08
1065,438,6,"noguchi, soichi",野口聡一,male,1965,japan,civilian,nasda-3,1996,2,2,flight engineer,2009,22,soyuz tma-17,iss,soyuz tma-17,3917.55,4251.1,0,0,20.08
1066,439,276,"camarda, charles j.","camarda, charles j.",male,1952,u.s.,civilian,nasa- 16,1996,1,1,msp,2005,sts-114,sts-114,sts-114,sts-114,333,333,0,0,0
1067,440,277,"olsen, gregory hammond","olsen, gregory hammond",male,1945,u.s.,civilian,Unknown,2004,1,1,space tourist,2005,soyuz tma-7,soyuz tma-7,soyuz tma-7,soyuz tma-7,237.29,237.29,0,0,0
1068,441,2,"fei, junlong",费俊龙,male,1966,china,military,china-1,2005,1,1,commander,2005,shenzhou 6,shenzhou 6,shenzhou 6,shenzhou 6,115,115,0,0,0
1069,442,3,nie haisheng,聂海胜,male,1964,china,military,china-1,2005,1,2,flight engineer,2005,shenzhou 6,shenzhou 6,shenzhou 6,shenzhou 6,116,466,0,0,0
1070,442,3,nie haisheng,聂海胜,male,1964,china,military,china-1,2005,2,2,commander,2008,shenzhou 10,shenzhou 10,shenzhou 10,shenzhou 10,350,466,0,0,0
1071,443,1,"pontes, marcos cesar","pontes, marcos cesar",male,1963,brazil,military,1998 nasa group,1998,1,1,pilot,2006,soyuz tma-8,soyuz tma-8,soyuz tma-8,soyuz tma-7,237.28,237.28,0,0,0
1072,444,278,"fossum, michael e.","fossum, michael e.",male,1957,u.s.,civilian,nasa- 17,1998,1,3,msp,2006,sts-121,sts-121,sts-121,sts-121,307,4651,3,21.48,48.53
1073,444,278,"fossum, michael e.","fossum, michael e.",male,1957,u.s.,civilian,nasa- 17,1998,2,3,msp,2008,sts-124,sts-124,sts-124,sts-124,330,4651,3,20.53,48.53
1074,444,278,"fossum, michael e.","fossum, michael e.",male,1957,u.s.,civilian,nasa- 17,1998,3,3,commander,2011,28,soyuz tma-02m,iss,soyuz tma-02m,4014,4651,1,6.52,48.53
1075,445,279,"nowak, lisa m.","nowak, lisa m.",female,1963,u.s.,military,nasa-16,1996,1,1,msp,2006,sts-121,sts-121,sts-121,sts-121,306,306,0,0,0
1076,446,280,"wilson, stephanie d.","wilson, stephanie d.",female,1966,u.s.,civilian,1996 nasa group,1996,1,3,msp,2006,sts-121,sts-121,sts-121,sts-121,306,1031.77,0,0,0
1077,446,280,"wilson, stephanie d.","wilson, stephanie d.",female,1966,u.s.,civilian,1996 nasa group,1996,2,3,msp,2007,sts-120,sts-120,sts-120,sts-120,362,1031.77,0,0,0
1078,446,280,"wilson, stephanie d.","wilson, stephanie d.",female,1966,u.s.,civilian,1996 nasa group,1996,3,3,msp,2010,sts-131,sts-131,sts-131,sts-131,362,1031.77,0,0,0
1079,447,281,"ferguson, christopher j.","ferguson, christopher j.",male,1961,u.s.,military,nasa- 17,1998,1,3,pilot,2006,sts-115,sts-115,sts-115,sts-115,283,672,0,0,0
1080,447,281,"ferguson, christopher j.","ferguson, christopher j.",male,1961,u.s.,military,nasa- 17,1998,2,3,commander,2008,sts-126,sts-126,sts-126,sts-126,380.5,672,0,0,0
1081,447,281,"ferguson, christopher j.","ferguson, christopher j.",male,1961,u.s.,military,nasa- 17,1998,3,3,commander,2011,sts-135,sts-135,sts-135,sts-135,306.5,672,0,0,0
1082,448,282,"stefanyshyn-piper, heidemarie m.","stefanyshyn-piper, heidemarie m.",female,1963,u.s.,military,1963 nasa group 2,1996,1,2,msp,2002,sts-115,sts-115,sts-115,sts-115,288,648,2,13.13,33.7
1083,448,282,"stefanyshyn-piper, heidemarie m.","stefanyshyn-piper, heidemarie m.",female,1963,u.s.,military,1963 nasa group 2,1996,2,2,msp,2008,sts-126,sts-126,sts-126,sts-126,360,648,3,20.57,33.7
1084,449,283,"ansari, anousheh",انوشه انصاری,female,1966,u.s.,civilian,n/a,2006,1,1,space tourist,2006,soyuz tma-9,soyuz tma-9,soyuz tma-9,soyuz tma-8,261.525,261.525,0,0,0
1085,450,284,"oefelein, william a.","oefelein, william a.",male,1965,u.s.,military,nasa-17,1998,1,1,pilot,2006,sts-116,sts-116,sts-116,sts-116,308,308,0,0,0
1086,451,285,"patrick, nicholas j. m.","patrick, nicholas j. m.",male,1964,u.k./u.s.,civilian,nasa-17,1998,1,2,msp,2006,sts-116,sts-116,sts-116,sts-116,308,638,0,0,18.23
1087,451,285,"patrick, nicholas j. m.","patrick, nicholas j. m.",male,1964,u.k./u.s.,civilian,nasa-17,1998,2,2,msp,2010,sts-130,sts-130,sts-130,sts-130,330,638,3,18.23,18.23
1088,452,1,christer fuglesang,christer fuglesang,male,1957,sweden,civilian,1992 esa group,1992,1,2,msp,2006,sts-116,sts-116,sts-116,sts-116,308.73,641.63,3,18.23,31.9
1089,452,1,christer fuglesang,christer fuglesang,male,1957,sweden,civilian,1992 esa group,1992,2,2,msp,2009,sts-128,sts-128,sts-128,sts-128,332.9,641.63,2,13.67,31.9
1090,453,286,"higginbotham, joan e.","higginbotham, joan e.",female,1964,u.s.,civilian,nasa- 16,1996,1,1,msp,2006,sts-116,sts-116,sts-116,sts-116,308,308,0,0,0
1091,454,287,"williams, sunita l.","williams, sunita l.",female,1965,u.s.,military,1998 nasa group,1998,1,1,msp,2006,14,sts-116,iss,sts-117,4674,7722,4,28.28,50.67
1092,454,287,"williams, sunita l.","williams, sunita l.",female,1965,u.s.,military,1998 nasa group,1998,2,2,flight engineer,2012,32,soyuz tma-05m,iss,soyuz tma-06m,3048,7722,3,21.38,50.67
1093,455,100,"kotov, oleg",олег валериевич котов,male,1965,u.s.s.r/russia,military,mks,1996,1,3,commander,2007,15,soyuz tma­10,iss,soyuz tma­10,4721,12629.03,2,11.05,36.7
1094,455,100,"kotov, oleg",олег валериевич котов,male,1965,u.s.s.r/russia,military,mks,1996,2,3,commander,2009,22,soyuz tma­17,iss,soyuz tma­17,3917,12629.03,1,5.73,36.7
1095,455,100,"kotov, oleg",олег валериевич котов,male,1965,u.s.s.r/russia,military,mks,1996,3,3,commander,2013,37,soyuz tma­10m,iss,soyuz tma­10m,3990,12629.03,3,19.92,36.7
1096,456,288,"simonyi, charles (karoly)","simonyi, charles (karoly)",male,1948,u.s.,civilian,n/a,2006,1,2,space tourist,2007,soyuz tma-10,soyuz tma-10,soyuz tma-10,soyuz tma-10,331.4,638.77,0,0,0
1097,456,288,"simonyi, charles (karoly)","simonyi, charles (karoly)",male,1948,u.s.,civilian,n/a,2006,2,2,space tourist,2009,soyuz tma-14,soyuz tma-14,soyuz tma-14,soyuz tma-14,307.85,638.77,0,0,0
1098,457,289,"archambault, lee j.","archambault, lee j.",male,1960,u.s.,military,nasa- 17,1998,1,2,pilot,2007,sts-117,sts-117,sts-117,sts-117,332,639.5,0,0,0
1099,457,289,"archambault, lee j.","archambault, lee j.",male,1960,u.s.,military,nasa- 17,1998,2,2,commander,2009,sts-119,sts-119,sts-119,sts-119,307.5,639.5,0,0,0
1100,458,290,"swanson, steven r.","swanson, steven r.",male,1960,u.s.,civilian,1998 nasa group,1998,1,3,msp,2007,sts-117,sts-117,sts-117,sts-117,332.22,4646.85,3,13.75,27.9
1101,458,290,"swanson, steven r.","swanson, steven r.",male,1960,u.s.,civilian,1998 nasa group,1998,2,3,msp,2009,sts-119,sts-119,sts-119,sts-119,307.5,4646.85,2,12.93,27.9
1102,458,290,"swanson, steven r.","swanson, steven r.",male,1960,u.s.,civilian,1998 nasa group,1998,3,3,flight engineer,2014,39,soyuz tma-12m,iss,soyuz tma-12m,4007.13,4646.85,0,0,27.9
1103,459,291,"olivas, john d.","olivas, john d.",male,1965,u.s.,civilian,nasa-17,1998,1,2,msp,2007,sts-117,sts-117,sts-117,sts-117,332,668,2,14.22,34.47
1104,459,291,"olivas, john d.","olivas, john d.",male,1965,u.s.,civilian,nasa-17,1998,2,2,msp,2009,sts-128,sts-128,sts-128,sts-128,333,668,3,20.25,34.47
1105,460,292,"anderson, clayton c.","anderson, clayton c.",male,1959,u.s.,civilian,nasa- 17,1998,1,2,flight engineer,2007,15,sts-117,iss,sts-120,3642,4046,3,18.13,38.46
1106,460,292,"anderson, clayton c.","anderson, clayton c.",male,1959,u.s.,civilian,nasa- 17,1998,2,2,msp,2010,sts-131,sts-131,sts-131,sts-131,363,4046,3,20.28,38.46
1107,461,293,"caldwell, tracy e.","caldwell, tracy e.",female,1969,u.s.,civilian,nasa- 17,1998,1,2,msp,2007,sts-118,sts-118,sts-118,sts-118,306,4526,0,0,22.81
1108,461,293,"caldwell, tracy e.","caldwell, tracy e.",female,1969,u.s.,civilian,nasa- 17,1998,2,2,flight engineer,2010,23,soyuz tma-18,iss,soyuz tma-18,4220,4526,3,22.81,22.81
1109,462,294,"drew, alvin benjamin","drew, alvin b.",male,1962,u.s.,military,nasa- 18,2000,1,2,msp,2007,sts-118,sts-118,sts-118,sts-118,306,613,0,0,12.8
1110,462,294,"drew, alvin benjamin","drew, alvin b.",male,1962,u.s.,military,nasa- 18,2000,2,2,msp,2011,sts-133,sts-133,sts-133,sts-133,307,613,2,12.8,12.8
1111,463,295,"morgan, barbara r.","morgan, barbara r.",female,1951,u.s.,civilian,nasa- 17,1998,1,1,msp,2007,sts-118,sts-118,sts-118,sts-118,305,305,0,0,0
1112,464,1,"shukor, sheikh muszaphar","shukor, sheikh muszaphar",male,1972,malysia,civilian,2006 angkasawan program,2006,1,1,space tourist,2007,soyuz tma-11/10,soyuz tma-11,soyuz tma-11,soyuz tma-10,261.23,261.23,0,0,0
1113,465,296,"zamka, george d.","zamka, george d.",male,1962,u.s.,military,1998 nasa group,1998,1,2,pilot,2007,sts-120,sts-120,sts-120,sts-120,362,692.53,0,0,0
1114,465,296,"zamka, george d.","zamka, george d.",male,1962,u.s.,military,1998 nasa group,1998,2,2,commander,2010,sts-130,sts-130,sts-130,sts-130,306.1,692.53,0,0,0
1115,466,297,"wheelock, douglas h.","wheelock, douglas h.",male,1960,u.s.,military,1998 nasa group,1998,1,2,msp,2007,sts-120,sts-120,sts-120,sts-120,360,4281.57,3,20.68,41.5
1116,466,297,"wheelock, douglas h.","wheelock, douglas h.",male,1960,u.s.,military,1998 nasa group,1998,2,2,flight engineer,2010,24,soyuz tma-19,iss,soyuz tma-19,3912,4281.57,3,22.82,41.5
1117,467,5,"nespoli, paolo a.","nespoli, paolo a.",male,1957,italy,military,1998 esa group,1998,1,3,msp,2007,sts-120,sts-120,sts-120,sts-120,362.4,7514.61,0,0,0
1118,467,5,"nespoli, paolo a.","nespoli, paolo a.",male,1957,italy,military,1998 esa group,1998,2,3,flight engineer,2010,26,soyuz tma-20,iss,soyuz tma-20,3823.28,7514.61,0,0,0
1119,467,5,"nespoli, paolo a.","nespoli, paolo a.",male,1957,italy,military,1998 esa group,1998,3,3,flight engineer,2017,52,soyuz ms-05,iss,soyuz ms-05,3328.93,7514.61,0,0,0
1120,468,298,"poindexter, alan g.","poindexter, alan g.",male,1961,u.s.,military,nasa-17,1998,1,2,pilot,2008,sts-122,sts-122,sts-122,sts-122,306,669,0,0,0
1121,468,298,"poindexter, alan g.","poindexter, alan g.",male,1961,u.s.,military,nasa-17,1998,2,2,commander,2010,sts-131,sts-131,sts-131,sts-131,363,669,0,0,0
1122,469,299,"melvin, leland d.","melvin, leland d.",male,1964,u.s.,civilian,nasa- 17,1998,1,2,msp,2008,sts-122,sts-122,sts-122,sts-122,306,565,0,0,0
1123,469,299,"melvin, leland d.","melvin, leland d.",male,1964,u.s.,civilian,nasa- 17,1998,2,2,msp,2009,sts-129,sts-129,sts-129,sts-129,259,565,0,0,0
1124,470,300,"love, stanley g.","love, stanley g.",male,1965,u.s.,civilian,nasa- 17,1998,1,1,msp,2008,sts-122,sts-122,sts-122,sts-122,306,306,1,15.38,15.38
1125,471,301,"johnson, gregory h.","johnson, gregory h.",male,1962,u.s.,military,nasa- 17,1998,1,2,pilot,2008,sts-123,sts-123,sts-123,sts-123,378,755.83,0,0,0
1126,471,301,"johnson, gregory h.","johnson, gregory h.",male,1962,u.s.,military,nasa- 18,1998,2,2,pilot,2011,sts-134,sts-134,sts-134,sts-134,377,755.83,0,0,0
1127,472,302,"behnken, robert l.","behnken, robert l.",male,1970,u.s.,military,nasa- 18,2000,1,2,msp,2008,sts-123,sts-123,sts-123,sts-123,378,708,3,19.32,37.54
1128,472,302,"behnken, robert l.","behnken, robert l.",male,1970,u.s.,military,nasa- 18,2000,2,2,msp,2010,sts-130,sts-130,sts-130,sts-130,330,708,3,18.23,37.54
1129,473,303,"foreman, michael j.","foreman, michael j.",male,1957,u.s.,military,nasa- 17,1998,1,2,msp,2008,sts-123,sts-123,sts-123,sts-123,378,637,3,19.57,32.31
